primal/generic/atomic/uint8/and/baseline  running | Cycle = 2048     | Op Count = 8388608      | Duration = 242027     ticks  ~ 24 ms
primal/generic/atomic/uint8/and/baseline  running | Cycle = 4096     | Op Count = 16777216     | Duration = 483296     ticks  ~ 48 ms
primal/generic/atomic/uint8/and/baseline  running | Cycle = 6144     | Op Count = 25165824     | Duration = 784719     ticks  ~ 78 ms
primal/generic/atomic/uint8/and/baseline  running | Cycle = 8192     | Op Count = 33554432     | Duration = 1020059    ticks  ~ 102 ms
primal/direct/atomic/float32/div/baseline  running | Cycle = 2048     | Op Count = 8388608      | Duration = 217840     ticks  ~ 21 ms
primal/direct/atomic/float32/div/baseline  running | Cycle = 4096     | Op Count = 16777216     | Duration = 429062     ticks  ~ 42 ms
primal/direct/atomic/float32/div/baseline  running | Cycle = 6144     | Op Count = 25165824     | Duration = 640150     ticks  ~ 64 ms
primal/direct/atomic/float32/div/baseline  running | Cycle = 8192     | Op Count = 33554432     | Duration = 852253     ticks  ~ 85 ms
primal/generic/atomic/float32/div/baseline  running | Cycle = 2048     | Op Count = 8388608      | Duration = 425128     ticks  ~ 42 ms
primal/generic/atomic/float32/div/baseline  running | Cycle = 4096     | Op Count = 16777216     | Duration = 818130     ticks  ~ 81 ms
primal/generic/atomic/float32/div/baseline  running | Cycle = 6144     | Op Count = 25165824     | Duration = 1211974    ticks  ~ 121 ms
primal/generic/atomic/float32/div/baseline  running | Cycle = 8192     | Op Count = 33554432     | Duration = 1608246    ticks  ~ 160 ms
primal/direct/atomic/float64/div/baseline  running | Cycle = 2048     | Op Count = 8388608      | Duration = 339177     ticks  ~ 33 ms
primal/direct/atomic/float64/div/baseline  running | Cycle = 4096     | Op Count = 16777216     | Duration = 914413     ticks  ~ 91 ms
primal/direct/atomic/float64/div/baseline  running | Cycle = 6144     | Op Count = 25165824     | Duration = 1251802    ticks  ~ 125 ms
primal/direct/atomic/float64/div/baseline  running | Cycle = 8192     | Op Count = 33554432     | Duration = 1589379    ticks  ~ 158 ms
primal/generic/atomic/float64/div/baseline  running | Cycle = 2048     | Op Count = 8388608      | Duration = 430815     ticks  ~ 43 ms
primal/generic/atomic/float64/div/baseline  running | Cycle = 4096     | Op Count = 16777216     | Duration = 873391     ticks  ~ 87 ms
primal/generic/atomic/float64/div/baseline  running | Cycle = 6144     | Op Count = 25165824     | Duration = 1304881    ticks  ~ 130 ms
primal/generic/atomic/float64/div/baseline  running | Cycle = 8192     | Op Count = 33554432     | Duration = 1793798    ticks  ~ 179 ms
primal/direct/atomic/int16/div/baseline  running | Cycle = 2048     | Op Count = 8388608      | Duration = 328797     ticks  ~ 32 ms
primal/direct/atomic/int16/div/baseline  running | Cycle = 4096     | Op Count = 16777216     | Duration = 654265     ticks  ~ 65 ms
primal/direct/atomic/int16/div/baseline  running | Cycle = 6144     | Op Count = 25165824     | Duration = 978449     ticks  ~ 97 ms
primal/direct/atomic/int16/div/baseline  running | Cycle = 8192     | Op Count = 33554432     | Duration = 1380158    ticks  ~ 138 ms
primal/generic/atomic/int16/div/baseline  running | Cycle = 2048     | Op Count = 8388608      | Duration = 349547     ticks  ~ 34 ms
primal/generic/atomic/int16/div/baseline  running | Cycle = 4096     | Op Count = 16777216     | Duration = 704011     ticks  ~ 70 ms
primal/generic/atomic/int16/div/baseline  running | Cycle = 6144     | Op Count = 25165824     | Duration = 1177775    ticks  ~ 117 ms
primal/generic/atomic/int16/div/baseline  running | Cycle = 8192     | Op Count = 33554432     | Duration = 1521251    ticks  ~ 152 ms
primal/direct/atomic/int32/div/baseline  running | Cycle = 2048     | Op Count = 8388608      | Duration = 314575     ticks  ~ 31 ms
primal/direct/atomic/int32/div/baseline  running | Cycle = 4096     | Op Count = 16777216     | Duration = 636143     ticks  ~ 63 ms
primal/direct/atomic/int32/div/baseline  running | Cycle = 6144     | Op Count = 25165824     | Duration = 992849     ticks  ~ 99 ms
primal/direct/atomic/int32/div/baseline  running | Cycle = 8192     | Op Count = 33554432     | Duration = 1350106    ticks  ~ 135 ms
primal/generic/atomic/int32/div/baseline  running | Cycle = 2048     | Op Count = 8388608      | Duration = 373428     ticks  ~ 37 ms
primal/generic/atomic/int32/div/baseline  running | Cycle = 4096     | Op Count = 16777216     | Duration = 730896     ticks  ~ 73 ms
primal/generic/atomic/int32/div/baseline  running | Cycle = 6144     | Op Count = 25165824     | Duration = 1091017    ticks  ~ 109 ms
primal/generic/atomic/int32/div/baseline  running | Cycle = 8192     | Op Count = 33554432     | Duration = 1451868    ticks  ~ 145 ms
primal/direct/atomic/int64/div/baseline  running | Cycle = 2048     | Op Count = 8388608      | Duration = 858441     ticks  ~ 85 ms
primal/direct/atomic/int64/div/baseline  running | Cycle = 4096     | Op Count = 16777216     | Duration = 1848085    ticks  ~ 184 ms
primal/direct/atomic/int64/div/baseline  running | Cycle = 6144     | Op Count = 25165824     | Duration = 2666868    ticks  ~ 266 ms
primal/direct/atomic/int64/div/baseline  running | Cycle = 8192     | Op Count = 33554432     | Duration = 3482203    ticks  ~ 348 ms
primal/generic/atomic/int64/div/baseline  running | Cycle = 2048     | Op Count = 8388608      | Duration = 855841     ticks  ~ 85 ms
primal/generic/atomic/int64/div/baseline  running | Cycle = 4096     | Op Count = 16777216     | Duration = 1694399    ticks  ~ 169 ms
primal/generic/atomic/int64/div/baseline  running | Cycle = 6144     | Op Count = 25165824     | Duration = 2519585    ticks  ~ 251 ms
primal/generic/atomic/int64/div/baseline  running | Cycle = 8192     | Op Count = 33554432     | Duration = 3472603    ticks  ~ 347 ms
primal/direct/atomic/int8/div/baseline  running | Cycle = 2048     | Op Count = 8388608      | Duration = 355959     ticks  ~ 35 ms
primal/direct/atomic/int8/div/baseline  running | Cycle = 4096     | Op Count = 16777216     | Duration = 707340     ticks  ~ 70 ms
primal/direct/atomic/int8/div/baseline  running | Cycle = 6144     | Op Count = 25165824     | Duration = 1063873    ticks  ~ 106 ms
primal/direct/atomic/int8/div/baseline  running | Cycle = 8192     | Op Count = 33554432     | Duration = 1598702    ticks  ~ 159 ms
primal/generic/atomic/int8/div/baseline  running | Cycle = 2048     | Op Count = 8388608      | Duration = 350537     ticks  ~ 35 ms
primal/generic/atomic/int8/div/baseline  running | Cycle = 4096     | Op Count = 16777216     | Duration = 704164     ticks  ~ 70 ms
primal/generic/atomic/int8/div/baseline  running | Cycle = 6144     | Op Count = 25165824     | Duration = 1061901    ticks  ~ 106 ms
primal/generic/atomic/int8/div/baseline  running | Cycle = 8192     | Op Count = 33554432     | Duration = 1434020    ticks  ~ 143 ms
primal/direct/atomic/uint16/div/baseline  running | Cycle = 2048     | Op Count = 8388608      | Duration = 340498     ticks  ~ 34 ms
primal/direct/atomic/uint16/div/baseline  running | Cycle = 4096     | Op Count = 16777216     | Duration = 757255     ticks  ~ 75 ms
primal/direct/atomic/uint16/div/baseline  running | Cycle = 6144     | Op Count = 25165824     | Duration = 1194408    ticks  ~ 119 ms
primal/direct/atomic/uint16/div/baseline  running | Cycle = 8192     | Op Count = 33554432     | Duration = 1573093    ticks  ~ 157 ms
primal/generic/atomic/uint16/div/baseline  running | Cycle = 2048     | Op Count = 8388608      | Duration = 413574     ticks  ~ 41 ms
primal/generic/atomic/uint16/div/baseline  running | Cycle = 4096     | Op Count = 16777216     | Duration = 811813     ticks  ~ 81 ms
primal/generic/atomic/uint16/div/baseline  running | Cycle = 6144     | Op Count = 25165824     | Duration = 1265108    ticks  ~ 126 ms
primal/generic/atomic/uint16/div/baseline  running | Cycle = 8192     | Op Count = 33554432     | Duration = 1688853    ticks  ~ 168 ms
primal/direct/atomic/uint32/div/baseline  running | Cycle = 2048     | Op Count = 8388608      | Duration = 398471     ticks  ~ 39 ms
primal/direct/atomic/uint32/div/baseline  running | Cycle = 4096     | Op Count = 16777216     | Duration = 806219     ticks  ~ 80 ms
primal/direct/atomic/uint32/div/baseline  running | Cycle = 6144     | Op Count = 25165824     | Duration = 1203562    ticks  ~ 120 ms
primal/direct/atomic/uint32/div/baseline  running | Cycle = 8192     | Op Count = 33554432     | Duration = 1608199    ticks  ~ 160 ms
primal/generic/atomic/uint32/div/baseline  running | Cycle = 2048     | Op Count = 8388608      | Duration = 462379     ticks  ~ 46 ms
primal/generic/atomic/uint32/div/baseline  running | Cycle = 4096     | Op Count = 16777216     | Duration = 865785     ticks  ~ 86 ms
primal/generic/atomic/uint32/div/baseline  running | Cycle = 6144     | Op Count = 25165824     | Duration = 1266345    ticks  ~ 126 ms
primal/generic/atomic/uint32/div/baseline  running | Cycle = 8192     | Op Count = 33554432     | Duration = 1659932    ticks  ~ 165 ms
primal/direct/atomic/uint64/div/baseline  running | Cycle = 2048     | Op Count = 8388608      | Duration = 747900     ticks  ~ 74 ms
primal/direct/atomic/uint64/div/baseline  running | Cycle = 4096     | Op Count = 16777216     | Duration = 1564011    ticks  ~ 156 ms
primal/direct/atomic/uint64/div/baseline  running | Cycle = 6144     | Op Count = 25165824     | Duration = 2354330    ticks  ~ 235 ms
primal/direct/atomic/uint64/div/baseline  running | Cycle = 8192     | Op Count = 33554432     | Duration = 3126632    ticks  ~ 312 ms
primal/generic/atomic/uint64/div/baseline  running | Cycle = 2048     | Op Count = 8388608      | Duration = 762645     ticks  ~ 76 ms
primal/generic/atomic/uint64/div/baseline  running | Cycle = 4096     | Op Count = 16777216     | Duration = 1522301    ticks  ~ 152 ms
primal/generic/atomic/uint64/div/baseline  running | Cycle = 6144     | Op Count = 25165824     | Duration = 2283327    ticks  ~ 228 ms
primal/generic/atomic/uint64/div/baseline  running | Cycle = 8192     | Op Count = 33554432     | Duration = 3048740    ticks  ~ 304 ms
primal/direct/atomic/uint8/div/baseline  running | Cycle = 2048     | Op Count = 8388608      | Duration = 340926     ticks  ~ 34 ms
primal/direct/atomic/uint8/div/baseline  running | Cycle = 4096     | Op Count = 16777216     | Duration = 683618     ticks  ~ 68 ms
primal/direct/atomic/uint8/div/baseline  running | Cycle = 6144     | Op Count = 25165824     | Duration = 1041000    ticks  ~ 104 ms
