; Derived from xed-regs.txt; see license

| name       | class     | width | enclosure | regid | alt-name |
| XMM11      | xmm       | 128   | XMM11     | 11    |          |
| XMM12      | xmm       | 128   | XMM12     | 12    |          |
| XMM13      | xmm       | 128   | XMM13     | 13    |          |
| XMM14      | xmm       | 128   | XMM14     | 14    |          |
| XMM15      | xmm       | 128   | XMM15     | 15    |          |
| ST0        | x87       | 80    | ST0       | 0     | st(0)    |
| ST1        | x87       | 80    | ST1       | 1     | st(1)    |
| ST2        | x87       | 80    | ST2       | 2     | st(2)    |
| ST3        | x87       | 80    | ST3       | 3     | st(3)    |
| ST4        | x87       | 80    | ST4       | 4     | st(4)    |
| ST5        | x87       | 80    | ST5       | 5     | st(5)    |
| ST6        | x87       | 80    | ST6       | 6     | st(6)    |
| ST7        | x87       | 80    | ST7       | 7     | st(7)    |
| CR0        | cr        | 32/64 | CR0       | 0     |          |
| CR1        | cr        | 32/64 | CR1       | 1     |          |
| CR2        | cr        | 32/64 | CR2       | 2     |          |
| CR3        | cr        | 32/64 | CR3       | 3     |          |
| CR4        | cr        | 32/64 | CR4       | 4     |          |
| CR5        | cr        | 32/64 | CR5       | 5     |          |
| CR6        | cr        | 32/64 | CR6       | 6     |          |
| CR7        | cr        | 32/64 | CR7       | 7     |          |
| CR8        | cr        | 32/64 | CR8       | 8     |          |
| CR9        | cr        | 32/64 | CR9       | 9     |          |
| CR10       | cr        | 32/64 | CR10      | 10    |          |
| CR11       | cr        | 32/64 | CR11      | 11    |          |
| CR12       | cr        | 32/64 | CR12      | 12    |          |
| CR13       | cr        | 32/64 | CR13      | 13    |          |
| CR14       | cr        | 32/64 | CR14      | 14    |          |
| CR15       | cr        | 32/64 | CR15      | 15    |          |
| DR0        | dr        | 32/64 | DR0       | 0     |          |
| DR1        | dr        | 32/64 | DR1       | 1     |          |
| DR2        | dr        | 32/64 | DR2       | 2     |          |
| DR3        | dr        | 32/64 | DR3       | 3     |          |
| DR4        | dr        | 32/64 | DR4       | 4     |          |
| DR5        | dr        | 32/64 | DR5       | 5     |          |
| DR6        | dr        | 32/64 | DR6       | 6     |          |
| DR7        | dr        | 32/64 | DR7       | 7     |          |
| RIP        | ip        | 64    | RIP       |       |          |
| EIP        | ip        | 32    | RIP       |       |          |
| IP         | ip        | 16    | RIP       |       |          |
| RFLAGS     | flags     | 64    | RFLAGS    |       |          |
| EFLAGS     | flags     | 32    | RFLAGS    |       |          |
| FLAGS      | flags     | 16    | EFLAGS    |       |          |
| CS         | sr        | 16    | CS        |       |          |
| DS         | sr        | 16    | DS        |       |          |
| ES         | sr        | 16    | ES        |       |          |
| SS         | sr        | 16    | SS        |       |          |
| FS         | sr        | 16    | FS        |       |          |
| GS         | sr        | 16    | GS        |       |          |
| STACKPUSH  | pseudo    | NA    |           |       |          |
| STACKPOP   | pseudo    | NA    |           |       |          |
| GDTR       | pseudo    | 80    |           |       |          |
| LDTR       | pseudo    | 80    |           |       |          |
| IDTR       | pseudo    | 80    |           |       |          |
| TR         | pseudo    | 80    |           |       |          |
| TSC        | pseudo    | 32    |           |       |          |
| TSCAUX     | pseudo    | 32    |           |       |          |
| MSRS       | pseudo    | NA    |           |       |          |
| X87CONTROL | pseudox87 | 16    |           |       |          |
| X87STATUS  | pseudox87 | 16    |           |       |          |
| X87TAG     | pseudox87 | 16    |           |       |          |
| X87PUSH    | pseudox87 | NA    |           |       |          |
| X87POP     | pseudox87 | NA    |           |       |          |
| X87POP2    | pseudox87 | NA    |           |       |          |
| X87OPCODE  | pseudox87 | 11    |           |       |          |
| X87LASTCS  | pseudox87 | 16    |           |       |          |
| X87LASTIP  | pseudox87 | 32/64 |           |       |          |
| X87LASTDS  | pseudox87 | 16    |           |       |          |
| X87LASTDP  | pseudox87 | 32/64 |           |       |          |
| XCR0       | xcr       | 64    |           |       |          |
| MXCSR      | mxcsr     | 32    |           |       |          |
